Date,Product_ID,Product_name,Historical_Sales,Promotion,Demand,Day_of_Week,Month
2023-01-01,MED001,Paracetamol,44,1,53,2,1
2023-01-01,MED002,Ibuprofen,84,0,101,3,1
2023-01-01,MED003,Amoxicillin,84,1,76,4,3
2023-01-01,MED004,Painkiller,25,0,53,5,10
2023-01-01,MED005,DOLO,31,1,35,0,2
2023-01-05,MED001,Paracetamol,45,0,59,3,2
2023-01-05,MED002,Ibuprofen,32,1,56,2,9
2023-01-05,MED003,Amoxicillin,63,0,74,1,7
2023-01-05,MED004,Painkiller,50,0,47,0,10
2023-01-05,MED005,DOLO,71,0,79,3,11
2023-01-08,MED001,Paracetamol,40,0,31,2,4
2023-01-08,MED002,Ibuprofen,96,1,86,3,8
2023-01-08,MED003,Amoxicillin,54,1,61,2,8
2023-01-08,MED004,Painkiller,27,0,57,1,2
2023-01-08,MED005,DOLO,76,0,84,3,12
2023-01-10,MED001,Paracetamol,29,1,34,4,5
2023-01-10,MED002,Ibuprofen,73,1,87,3,3
2023-01-10,MED003,Amoxicillin,72,0,77,2,12
2023-01-10,MED004,Painkiller,93,1,83,2,4
2023-01-10,MED005,DOLO,21,0,35,0,12
2023-01-15,MED001,Paracetamol,88,1,79,1,6
2023-01-15,MED002,Ibuprofen,82,1,72,1,7
2023-01-15,MED003,Amoxicillin,86,1,79,2,1
2023-01-15,MED004,Painkiller,70,0,62,3,7
2023-01-15,MED005,DOLO,50,1,40,2,1
2023-01-19,MED001,Paracetamol,36,0,66,3,5
2023-01-19,MED002,Ibuprofen,21,0,11,6,4
2023-01-19,MED003,Amoxicillin,95,0,122,0,3
2023-01-19,MED004,Painkiller,27,0,57,0,3
2023-01-19,MED005,DOLO,66,0,57,4,5
2023-01-21,MED001,Paracetamol,63,0,65,6,8
2023-01-21,MED002,Ibuprofen,67,1,95,2,4
2023-01-21,MED003,Amoxicillin,34,0,49,0,1
2023-01-21,MED004,Painkiller,99,1,91,1,8
2023-01-21,MED005,DOLO,64,1,72,5,6
2023-01-22,MED001,Paracetamol,52,1,82,4,3
