Date,Product_ID,Product_name,Historical_Sales,Promotion,Demand,Day_of_Week,Month
2023-01-01,MED001,Paracetamol,48,1,62,6,1
2023-01-01,MED002,Ibuprofen,38,1,44,6,1
2023-01-01,MED003,Amoxicillin,51,0,56,6,1
2023-01-01,MED004,Painkiller,45,0,42,6,1
2023-01-01,MED005,DOLO,48,1,53,6,1
2023-01-03,MED001,Paracetamol,63,0,62,1,1
2023-01-03,MED002,Ibuprofen,42,0,42,1,1
2023-01-03,MED003,Amoxicillin,60,0,65,1,1
2023-01-03,MED004,Painkiller,71,0,77,1,1
2023-01-03,MED005,DOLO,84,0,92,1,1
2023-01-08,MED001,Paracetamol,56,0,62,6,1
2023-01-08,MED002,Ibuprofen,47,0,44,6,1
2023-01-08,MED003,Amoxicillin,37,0,36,6,1
2023-01-08,MED004,Painkiller,50,0,48,6,1
2023-01-08,MED005,DOLO,60,1,68,6,1
2023-01-12,MED001,Paracetamol,63,0,72,3,1
2023-01-12,MED002,Ibuprofen,48,0,50,3,1
2023-01-12,MED003,Amoxicillin,63,0,58,3,1
2023-01-12,MED004,Painkiller,65,0,63,3,1
2023-01-12,MED005,DOLO,70,0,70,3,1
2023-01-14,MED001,Paracetamol,58,0,65,5,1
2023-01-14,MED002,Ibuprofen,50,1,51,5,1
2023-01-14,MED003,Amoxicillin,47,1,60,5,1
2023-01-14,MED004,Painkiller,64,0,72,5,1
2023-01-14,MED005,DOLO,61,1,73,5,1
2023-01-15,MED001,Paracetamol,59,0,61,6,1
2023-01-15,MED002,Ibuprofen,40,0,49,6,1
2023-01-15,MED003,Amoxicillin,45,0,46,6,1
2023-01-15,MED004,Painkiller,50,1,61,6,1
2023-01-15,MED005,DOLO,54,0,59,6,1
2023-01-18,MED001,Paracetamol,80,1,82,2,1
2023-01-18,MED002,Ibuprofen,44,1,48,2,1
2023-01-18,MED003,Amoxicillin,58,0,61,2,1
2023-01-18,MED004,Painkiller,68,1,79,2,1
2023-01-18,MED005,DOLO,70,0,71,2,1
2023-01-23,MED001,Paracetamol,66,1,73,0,1
2023-01-23,MED002,Ibuprofen,44,0,43,0,1
2023-01-23,MED003,Amoxicillin,63,1,63,0,1
2023-01-23,MED004,Painkiller,66,0,75,0,1
2023-01-23,MED005,DOLO,82,0,85,0,1
2023-01-28,MED001,Paracetamol,63,0,67,5,1
2023-01-28,MED002,Ibuprofen,45,0,46,5,1
2023-01-28,MED003,Amoxicillin,54,0,52,5,1
2023-01-28,MED004,Painkiller,53,0,60,5,1
2023-01-28,MED005,DOLO,68,1,71,5,1
2023-01-31,MED001,Paracetamol,74,0,79,1,1
2023-01-31,MED002,Ibuprofen,60,0,56,1,1
2023-01-31,MED003,Amoxicillin,58,1,63,1,1
2023-01-31,MED004,Painkiller,73,0,81,1,1
2023-01-31,MED005,DOLO,79,0,80,1,1
2023-02-01,MED001,Paracetamol,68,1,68,2,2
2023-02-01,MED002,Ibuprofen,61,0,58,2,2
2023-02-01,MED003,Amoxicillin,55,0,60,2,2
2023-02-01,MED004,Painkiller,70,0,65,2,2
2023-02-01,MED005,DOLO,87,0,89,2,2
2023-02-03,MED001,Paracetamol,76,0,78,4,2
2023-02-03,MED002,Ibuprofen,50,0,58,4,2
2023-02-03,MED003,Amoxicillin,65,0,71,4,2
2023-02-03,MED004,Painkiller,68,0,63,4,2
2023-02-03,MED005,DOLO,73,0,68,4,2
2023-02-06,MED001,Paracetamol,78,1,82,0,2
2023-02-06,MED002,Ibuprofen,42,0,50,0,2
2023-02-06,MED003,Amoxicillin,50,0,54,0,2
2023-02-06,MED004,Painkiller,67,0,65,0,2
2023-02-06,MED005,DOLO,79,0,74,0,2
2023-02-08,MED001,Paracetamol,67,0,65,2,2
2023-02-08,MED002,Ibuprofen,43,0,48,2,2
2023-02-08,MED003,Amoxicillin,64,1,72,2,2
2023-02-08,MED004,Painkiller,67,0,64,2,2
2023-02-08,MED005,DOLO,88,0,86,2,2
2023-02-10,MED001,Paracetamol,80,1,98,4,2
2023-02-10,MED002,Ibuprofen,61,0,59,4,2
2023-02-10,MED003,Amoxicillin,57,0,58,4,2
2023-02-10,MED004,Painkiller,79,1,89,4,2
2023-02-10,MED005,DOLO,86,1,95,4,2
2023-02-12,MED001,Paracetamol,44,0,48,6,2
2023-02-12,MED002,Ibuprofen,43,0,49,6,2
2023-02-12,MED003,Amoxicillin,49,0,57,6,2
2023-02-12,MED004,Painkiller,53,0,58,6,2
2023-02-12,MED005,DOLO,55,0,52,6,2
2023-02-13,MED001,Paracetamol,77,1,96,0,2
2023-02-13,MED002,Ibuprofen,42,0,47,0,2
2023-02-13,MED003,Amoxicillin,65,0,65,0,2
2023-02-13,MED004,Painkiller,69,0,66,0,2
2023-02-13,MED005,DOLO,84,0,81,0,2
2023-02-14,MED001,Paracetamol,79,0,75,1,2
2023-02-14,MED002,Ibuprofen,43,0,50,1,2
2023-02-14,MED003,Amoxicillin,57,0,55,1,2
2023-02-14,MED004,Painkiller,62,0,60,1,2
2023-02-14,MED005,DOLO,76,1,92,1,2
2023-02-16,MED001,Paracetamol,62,0,67,3,2
2023-02-16,MED002,Ibuprofen,60,0,60,3,2
2023-02-16,MED003,Amoxicillin,62,0,62,3,2
2023-02-16,MED004,Painkiller,74,0,76,3,2
2023-02-16,MED005,DOLO,70,0,65,3,2
2023-02-20,MED001,Paracetamol,76,0,75,0,2
2023-02-20,MED002,Ibuprofen,57,0,54,0,2
2023-02-20,MED003,Amoxicillin,65,0,71,0,2
2023-02-20,MED004,Painkiller,75,1,77,0,2
2023-02-20,MED005,DOLO,77,1,93,0,2
2023-02-25,MED001,Paracetamol,62,1,64,5,2
2023-02-25,MED002,Ibuprofen,33,0,40,5,2
2023-02-25,MED003,Amoxicillin,38,0,34,5,2
2023-02-25,MED004,Painkiller,58,1,60,5,2
2023-02-25,MED005,DOLO,61,0,57,5,2
2023-02-26,MED001,Paracetamol,56,1,57,6,2
2023-02-26,MED002,Ibuprofen,37,1,53,6,2
2023-02-26,MED003,Amoxicillin,40,0,45,6,2
2023-02-26,MED004,Painkiller,57,0,61,6,2
2023-02-26,MED005,DOLO,49,0,51,6,2
2023-03-02,MED001,Paracetamol,57,0,58,3,3
2023-03-02,MED002,Ibuprofen,37,1,37,3,3
2023-03-02,MED003,Amoxicillin,23,1,38,3,3
2023-03-02,MED004,Painkiller,58,1,72,3,3
2023-03-02,MED005,DOLO,26,0,27,3,3
2023-03-06,MED001,Paracetamol,63,0,72,0,3
2023-03-06,MED002,Ibuprofen,50,0,50,0,3
2023-03-06,MED003,Amoxicillin,30,0,36,0,3
2023-03-06,MED004,Painkiller,49,0,48,0,3
2023-03-06,MED005,DOLO,36,1,42,0,3
2023-03-11,MED001,Paracetamol,38,1,57,5,3
2023-03-11,MED002,Ibuprofen,40,0,42,5,3
2023-03-11,MED003,Amoxicillin,30,0,26,5,3
2023-03-11,MED004,Painkiller,44,0,39,5,3
2023-03-11,MED005,DOLO,36,0,37,5,3
2023-03-13,MED001,Paracetamol,49,0,57,0,3
2023-03-13,MED002,Ibuprofen,42,0,37,0,3
2023-03-13,MED003,Amoxicillin,16,0,24,0,3
2023-03-13,MED004,Painkiller,60,0,67,0,3
2023-03-13,MED005,DOLO,25,1,31,0,3
2023-03-17,MED001,Paracetamol,49,0,50,4,3
2023-03-17,MED002,Ibuprofen,36,0,33,4,3
2023-03-17,MED003,Amoxicillin,20,0,27,4,3
2023-03-17,MED004,Painkiller,58,0,67,4,3
2023-03-17,MED005,DOLO,41,0,49,4,3
2023-03-21,MED001,Paracetamol,64,0,68,1,3
2023-03-21,MED002,Ibuprofen,49,1,52,1,3
2023-03-21,MED003,Amoxicillin,16,0,15,1,3
2023-03-21,MED004,Painkiller,54,1,57,1,3
2023-03-21,MED005,DOLO,26,0,30,1,3
2023-03-25,MED001,Paracetamol,53,0,48,5,3
2023-03-25,MED002,Ibuprofen,30,0,32,5,3
2023-03-25,MED003,Amoxicillin,26,0,21,5,3
2023-03-25,MED004,Painkiller,54,0,50,5,3
2023-03-25,MED005,DOLO,20,0,15,5,3
2023-03-27,MED001,Paracetamol,63,1,74,0,3
2023-03-27,MED002,Ibuprofen,36,1,43,0,3
2023-03-27,MED003,Amoxicillin,25,0,32,0,3
2023-03-27,MED004,Painkiller,57,0,65,0,3
2023-03-27,MED005,DOLO,26,0,22,0,3
2023-03-29,MED001,Paracetamol,47,0,51,2,3
2023-03-29,MED002,Ibuprofen,41,0,45,2,3
2023-03-29,MED003,Amoxicillin,17,0,18,2,3
2023-03-29,MED004,Painkiller,48,0,44,2,3
2023-03-29,MED005,DOLO,37,1,40,2,3
2023-03-30,MED001,Paracetamol,48,0,51,3,3
2023-03-30,MED002,Ibuprofen,36,1,51,3,3
2023-03-30,MED003,Amoxicillin,19,0,20,3,3
2023-03-30,MED004,Painkiller,49,0,50,3,3
2023-03-30,MED005,DOLO,37,1,39,3,3
2023-03-31,MED001,Paracetamol,53,0,48,4,3
2023-03-31,MED002,Ibuprofen,53,1,65,4,3
2023-03-31,MED003,Amoxicillin,34,0,40,4,3
2023-03-31,MED004,Painkiller,53,1,61,4,3
2023-03-31,MED005,DOLO,31,1,50,4,3
2023-04-04,MED001,Paracetamol,57,0,56,1,4
2023-04-04,MED002,Ibuprofen,33,0,36,1,4
2023-04-04,MED003,Amoxicillin,32,0,30,1,4
2023-04-04,MED004,Painkiller,54,1,66,1,4
