Date,Product_ID,Product_name,Historical_Sales,Promotion,Demand,Day_of_Week,Month
2023-01-01,MED001,Paracetamol,74,1,98,0,6
2023-01-01,MED002,Ibuprofen,82,0,86,4,3
2023-01-01,MED003,Amoxicillin,50,1,63,2,9
2023-01-01,MED004,Painkiller,20,1,14,5,4
2023-01-01,MED005,DOLO,37,1,39,0,4
2023-01-02,MED001,Paracetamol,58,1,53,2,7
2023-01-02,MED002,Ibuprofen,43,1,42,2,5
2023-01-02,MED003,Amoxicillin,69,1,61,2,7
2023-01-02,MED004,Painkiller,42,0,57,5,9
2023-01-02,MED005,DOLO,33,1,28,2,11
2023-01-06,MED001,Paracetamol,32,1,22,1,6
2023-01-06,MED002,Ibuprofen,36,1,55,0,8
2023-01-06,MED003,Amoxicillin,71,1,64,2,7
2023-01-06,MED004,Painkiller,53,0,81,6,8
2023-01-06,MED005,DOLO,84,1,104,5,6
2023-01-11,MED001,Paracetamol,88,1,85,6,3
2023-01-11,MED002,Ibuprofen,74,1,69,1,1
2023-01-11,MED003,Amoxicillin,63,1,65,4,10
2023-01-11,MED004,Painkiller,78,1,71,3,5
2023-01-11,MED005,DOLO,25,0,46,3,6
2023-01-15,MED001,Paracetamol,26,1,32,3,6
2023-01-15,MED002,Ibuprofen,57,0,81,2,3
2023-01-15,MED003,Amoxicillin,57,1,73,0,8
2023-01-15,MED004,Painkiller,61,1,91,0,10
2023-01-15,MED005,DOLO,34,1,26,4,12
2023-01-19,MED001,Paracetamol,70,0,71,0,9
2023-01-19,MED002,Ibuprofen,32,0,31,5,8
2023-01-19,MED003,Amoxicillin,75,1,87,3,12
2023-01-19,MED004,Painkiller,99,0,122,4,8
2023-01-19,MED005,DOLO,25,0,35,2,1
2023-01-21,MED001,Paracetamol,38,0,52,4,12
2023-01-21,MED002,Ibuprofen,30,1,60,5,5
2023-01-21,MED003,Amoxicillin,74,1,65,1,12
2023-01-21,MED004,Painkiller,52,0,69,0,4
2023-01-21,MED005,DOLO,93,1,102,4,9
2023-01-25,MED001,Paracetamol,89,0,82,2,10
2023-01-25,MED002,Ibuprofen,80,0,97,2,12
2023-01-25,MED003,Amoxicillin,43,1,65,5,1
2023-01-25,MED004,Painkiller,97,1,98,5,5
2023-01-25,MED005,DOLO,54,0,70,1,1
2023-01-30,MED001,Paracetamol,73,0,80,2,8
2023-01-30,MED002,Ibuprofen,96,1,92,1,4
2023-01-30,MED003,Amoxicillin,22,1,26,0,10
2023-01-30,MED004,Painkiller,56,1,83,3,11
2023-01-30,MED005,DOLO,96,1,120,3,8
2023-01-31,MED001,Paracetamol,91,0,102,2,6
2023-01-31,MED002,Ibuprofen,64,1,63,3,12
2023-01-31,MED003,Amoxicillin,83,0,107,5,3
2023-01-31,MED004,Painkiller,69,1,84,0,11
2023-01-31,MED005,DOLO,93,0,123,3,9
2023-02-01,MED001,Paracetamol,64,0,67,5,9
2023-02-01,MED002,Ibuprofen,67,1,75,6,6
2023-02-01,MED003,Amoxicillin,77,1,68,1,10
